hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,condition_encoded
6,92,174.44,22.54,28.12,77.11,4.12,28.442,4.9019,4
6,312,144.89,28.19,32.56,77.7,3.302,28.473,5.9861,0
16,77,386.03,27.2,38.98,54.18,3.643,29.787,15.0,2
3,354,0.0,24.37,25.12,90.7,3.236,28.449,0.1651,2
10,214,837.84,22.16,48.84,38.65,2.887,29.463,15.0,2
6,175,234.31,19.66,27.23,77.39,3.053,30.487,13.5152,2
19,350,0.0,26.45,27.94,90.47,4.629,18.58,0.0241,3
7,353,177.78,29.94,36.34,68.86,1.963,30.947,9.5526,2
20,138,0.0,14.13,13.64,92.31,3.426,30.006,0.0,2
4,147,13.58,13.43,13.63,94.63,1.335,29.676,0.5628,4
22,330,6.8,23.23,25.29,98.36,2.538,28.373,0.0,0
21,337,6.57,26.94,27.06,96.27,2.983,30.36,0.6118,2
9,28,400.48,33.48,46.33,55.42,3.183,29.653,15.0,0
13,30,581.79,30.2,48.21,36.24,3.53,29.593,15.0,2
6,132,248.59,18.28,25.21,78.77,1.978,29.928,6.3129,4
4,360,0.0,23.47,23.04,98.97,0.295,28.148,0.0,4
21,181,5.64,15.81,16.46,98.53,0.956,27.245,0.0,2
10,144,863.68,23.38,50.45,37.04,1.971,31.307,15.0,2
13,20,537.13,29.48,46.43,35.17,1.944,30.449,15.0,2
4,139,37.27,14.62,15.12,94.4,2.743,18.789,1.8107,3
3,254,0.66,18.33,17.69,97.99,2.603,26.881,0.5059,2
17,283,278.5,24.82,32.67,63.78,0.475,30.036,15.0,2
17,205,336.63,20.93,33.02,64.26,1.679,27.834,15.0,2
1,249,0.0,16.41,16.41,94.77,2.738,28.364,0.1425,2
3,348,31.49,26.92,29.07,100.0,1.903,28.373,2.4058,2
5,345,0.0,26.13,27.78,91.52,1.548,28.991,0.6942,2
11,172,1009.86,21.81,53.83,31.84,3.221,32.354,15.0,2
20,140,0.0,12.64,12.9,95.49,4.028,21.313,0.8508,3
12,331,568.89,34.31,51.27,31.51,7.717,31.726,11.8394,4
6,12,103.29,29.45,33.85,77.62,2.809,29.291,6.5473,2
9,267,544.31,28.88,46.31,47.88,3.573,30.209,15.0,2
4,151,27.82,14.01,14.04,91.15,2.591,15.64,0.0,3
18,41,118.25,27.36,33.34,77.69,1.326,28.066,3.3457,4
19,250,1.57,18.95,20.32,89.45,2.758,27.453,0.5802,0
18,335,130.83,31.09,36.97,81.01,0.928,30.194,5.2585,0
11,278,706.49,31.78,53.26,30.75,5.761,30.48,15.0,0
23,299,8.72,20.99,21.72,94.82,2.593,3.867,0.0,1
16,47,330.58,26.91,36.71,57.69,0.944,29.842,12.7304,0
10,140,863.6,22.42,48.74,39.69,2.265,29.313,15.0,0
15,237,659.94,24.5,45.58,46.91,1.13,30.737,14.8123,4
0,103,26.75,15.66,16.88,92.06,1.325,17.452,0.354,3
7,111,322.28,23.34,32.16,67.91,2.802,27.311,15.0,2
6,117,228.27,17.79,24.23,75.43,0.225,27.97,13.9579,2
4,31,3.65,20.35,19.57,92.36,1.017,26.495,0.3032,4
18,14,118.79,28.38,32.8,80.42,4.561,29.024,8.1775,2
1,152,1.86,12.11,11.68,95.59,2.812,28.624,0.4232,0
21,31,1.12,25.32,24.68,94.79,5.909,29.188,0.0,2
23,10,0.0,19.53,20.74,98.51,1.393,28.712,0.0629,2
23,53,0.0,20.48,21.63,91.78,4.182,17.929,0.4956,3
19,245,5.84,21.17,21.21,90.63,3.315,27.845,0.0088,2
14,299,534.36,30.83,47.36,43.31,2.126,29.724,15.0,2
21,98,6.75,18.0,19.96,98.73,5.586,28.961,1.359,2
10,7,461.66,34.19,48.34,40.26,4.291,4.002,15.0,1
19,129,6.72,18.8,18.25,95.73,1.612,30.149,0.0183,4
5,286,0.0,21.98,21.9,88.12,1.092,28.939,0.1695,4
0,328,15.89,22.17,23.36,95.82,3.955,4.143,0.0,1
15,156,739.37,21.09,43.24,43.21,2.393,31.116,15.0,2
21,48,12.0,20.8,22.44,92.31,3.341,27.68,0.3013,4
8,109,482.16,26.27,40.05,57.56,2.469,30.985,15.0,0
14,88,717.78,24.66,47.38,36.54,3.162,31.948,15.0,2
1,281,31.01,19.08,20.48,96.83,4.052,28.45,0.5433,4
13,193,977.17,22.79,52.61,35.69,4.83,29.224,15.0,4
15,77,499.86,27.32,43.46,51.91,1.678,30.54,15.0,2
14,358,435.61,31.1,44.38,44.22,1.631,30.216,15.0,2
0,4,0.0,22.81,22.68,93.45,4.515,28.052,0.1029,2
4,316,0.0,20.55,19.54,96.43,3.056,3.798,0.5855,1
4,138,27.56,16.28,16.47,88.74,2.13,28.441,1.4325,0
3,317,0.0,23.11,23.4,94.57,3.3,30.964,0.2654,2
15,44,443.38,31.17,44.14,45.89,2.927,31.265,15.0,2
0,56,11.37,24.01,26.21,94.0,2.626,29.69,0.5612,0
6,246,188.35,21.64,27.75,75.63,3.219,27.897,12.644,2
20,160,7.84,14.84,15.78,97.41,1.887,29.341,0.0,2
23,307,0.0,17.75,18.74,100.0,1.65,28.813,0.1013,4
8,352,255.4,29.15,38.1,60.62,2.036,30.107,14.0676,2
12,40,631.82,27.99,48.22,36.26,0.385,31.472,15.0,2
3,251,25.44,18.82,18.48,94.68,0.895,29.311,1.2505,2
3,151,0.0,14.09,13.75,99.38,3.991,30.139,0.072,2
17,223,325.02,20.0,31.39,67.36,4.388,19.596,11.6385,3
11,134,945.6,22.96,52.52,32.9,3.219,30.395,15.0,2
23,97,0.7,16.64,16.72,97.28,4.541,27.978,0.3847,4
21,139,3.52,16.24,16.05,99.98,1.489,27.262,1.0772,2
18,353,133.7,27.47,31.45,82.03,1.116,28.63,5.4422,0
22,223,0.0,15.16,16.55,98.1,3.496,29.373,0.0194,2
10,151,882.37,24.72,52.4,36.2,3.465,31.765,15.0,2
16,11,288.91,30.47,39.78,58.87,1.987,28.405,6.9705,4
21,183,0.0,17.34,18.05,95.2,3.257,28.309,0.0081,2
0,89,12.86,18.04,19.13,93.87,2.068,28.294,0.0045,2
15,208,705.38,23.69,46.29,44.55,3.762,31.009,15.0,4
1,66,0.0,17.86,16.81,92.26,2.415,27.778,0.0,2
6,59,143.47,25.38,29.2,74.14,0.952,30.051,5.1248,0
9,123,669.29,24.0,45.83,45.26,1.695,30.56,15.0,2
5,32,5.86,25.87,25.34,90.38,5.871,28.717,0.0826,2
5,31,2.83,28.12,28.71,88.25,1.113,28.881,0.2446,4
0,236,7.91,15.45,15.99,100.0,2.245,29.578,0.5396,2
17,107,323.45,21.25,32.71,63.25,0.457,30.458,15.0,2
23,332,20.36,22.28,22.78,94.57,3.152,17.017,1.4366,3
3,168,0.0,15.59,15.68,91.43,2.125,16.922,0.0468,3
21,126,0.51,15.25,14.03,94.73,2.905,5.445,0.0,1
15,8,389.89,32.24,45.02,53.62,0.37,30.058,9.3967,4
20,289,0.1,23.8,23.66,96.01,1.497,29.427,0.0,2
10,236,764.81,27.19,52.28,36.22,2.832,18.727,15.0,3
19,15,4.67,27.63,27.49,87.73,0.491,28.465,0.2014,0
