hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,power_W
14,17,495.07,32.26,46.93,41.33,1.959,806.76
21,134,13.58,13.04,13.84,96.58,1.432,5.93
7,65,229.36,23.8,32.66,65.32,0.313,399.32
14,211,829.98,26.79,52.82,37.29,2.284,1325.17
9,191,758.04,24.73,48.27,39.68,0.709,847.45
17,135,374.89,21.27,31.92,65.28,0.916,650.11
1,167,0.0,14.48,15.87,91.58,0.597,0.0
17,277,257.39,25.15,33.65,64.28,2.669,171.11
8,347,275.17,32.2,39.7,55.42,1.992,493.77
2,231,0.0,17.56,17.61,98.27,2.399,11.22
2,292,18.57,21.17,20.81,91.07,4.067,3.69
3,28,0.0,23.48,22.73,94.46,1.816,0.0
19,79,0.0,23.97,23.49,87.45,1.54,6.28
17,46,213.99,30.85,38.53,64.32,2.694,389.24
16,349,269.03,31.36,39.15,59.78,2.614,444.93
17,18,193.98,26.81,33.07,67.74,0.778,333.14
15,300,457.81,30.17,44.72,48.41,1.311,300.49
6,75,175.96,22.38,26.67,76.64,1.445,278.2
4,133,9.35,14.83,14.1,95.14,5.279,23.99
21,166,12.57,13.81,14.87,93.98,4.642,52.74
11,2,495.69,33.91,50.02,36.11,0.571,368.02
3,362,0.0,26.19,27.07,96.0,2.002,3.7
2,155,2.63,12.64,11.87,97.11,0.54,4.3
10,14,497.68,29.55,44.68,42.41,3.215,800.01
4,169,0.0,11.58,10.27,92.98,2.866,6.32
0,325,14.56,21.83,22.8,91.5,1.215,16.58
13,365,507.78,31.19,47.33,40.28,0.711,322.27
21,302,0.0,23.82,23.48,91.81,4.197,11.57
18,188,212.03,17.8,25.3,76.12,2.793,417.14
18,101,235.09,21.6,28.86,78.23,6.2,286.05
16,146,557.47,23.06,42.15,49.2,2.642,389.4
6,233,199.53,18.55,24.54,75.49,3.602,137.92
15,65,500.65,30.45,44.86,52.43,3.706,555.84
18,121,197.87,20.73,27.0,77.31,1.637,364.35
13,257,820.22,24.98,49.76,34.25,2.544,911.43
4,46,9.29,23.08,24.54,94.63,2.201,26.62
