hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,power_W,condition
11,242,839.07,24.82,49.0,35.71,3.301,32.133,15.0,1342.86,normal
2,251,14.84,17.06,17.1,100.0,0.991,29.752,0.1326,8.91,normal
4,73,15.8,19.37,17.47,98.16,4.604,28.412,0.1492,0.0,partial_shading
18,33,136.06,27.88,32.32,77.3,2.896,27.316,6.2807,170.61,dirty_panels
2,266,7.43,19.72,20.25,96.32,1.038,26.35,0.0083,0.0,normal
14,8,470.22,30.57,46.32,46.81,5.299,31.753,15.0,784.38,normal
8,263,419.88,27.66,40.06,53.47,7.812,29.45,10.1553,284.52,partial_shading
8,48,337.96,29.83,41.08,63.2,1.293,30.275,13.9395,412.71,dirty_panels
22,96,0.0,15.61,16.1,92.68,2.797,27.851,0.1605,0.0,normal
14,259,676.3,28.88,49.24,42.19,2.199,29.852,15.0,1107.61,normal
14,228,785.48,25.05,50.29,37.92,2.285,30.116,15.0,858.29,dirty_panels
8,286,331.82,27.41,37.95,57.39,4.548,29.702,12.8971,384.63,dirty_panels
9,223,676.3,24.03,44.38,41.36,2.608,30.221,15.0,1068.28,normal
16,18,314.73,30.11,40.22,60.42,0.98,28.518,12.2445,349.77,dirty_panels
0,307,0.0,23.24,23.35,91.03,3.167,27.881,0.4424,26.11,normal
5,79,7.07,22.43,23.34,84.58,2.161,28.739,0.6737,22.97,normal
14,50,545.03,29.42,46.34,44.92,3.092,28.146,15.0,885.57,normal
14,321,482.93,28.56,43.68,47.88,2.051,28.934,15.0,550.92,dirty_panels
2,72,27.5,20.54,20.54,92.78,5.247,28.675,0.1009,0.0,partial_shading
18,196,278.6,18.2,25.82,79.01,2.52,4.509,7.4757,44.1,inverter_failure
13,178,1038.08,24.04,56.33,33.15,1.572,32.361,15.0,675.4,partial_shading
5,281,7.32,24.23,23.93,88.6,4.139,28.348,0.1047,0.0,partial_shading
18,17,126.6,27.26,31.86,82.09,2.742,17.953,5.0067,87.89,panel_failure
23,39,6.69,22.14,22.68,94.46,2.771,26.939,0.0005,0.0,dirty_panels
10,152,861.01,23.01,49.54,38.23,3.781,30.87,15.0,1368.89,normal
6,173,214.18,18.58,25.61,72.94,1.931,28.33,5.0513,139.65,partial_shading
7,288,230.97,26.46,33.01,63.89,3.547,28.947,13.7353,398.26,normal
